,plant_id,2013,2014,2015,2016,2017,2018,2019,2020,2021,operation_years,CACR_uptime
187,56451,2028.775,2530.9875,2351.7875,2535.6125,2662.325,2699.525,2426.45,2675.575,2453.825,9,-0.386270937
188,56457,3576.678571,3706.690476,3308.059524,3506.666667,3202.22619,3984.095238,4049.654762,3964.190476,2334.583333,9,-5.615021264
189,56459,3502.086667,3829.586667,3661.16,3744.973333,3542.686667,3287.253333,3098.786667,2838.293333,1969.2,9,-7.977878668
190,56460,3347.293333,3212.306667,3169.626667,3496.786667,3067.186667,3430.053333,3195.826667,3538.293333,2282.2,9,-4.183106202
191,56466,2306.989554,2575.047483,2073.395062,2499.62963,2226.51472,2378.262108,1114.596391,2772.777778,3129.418803,9,2.467185096
192,56468,2739.183193,2689.94958,2443.42521,2551.919328,2229.697479,2433.626891,2352.568067,2750.991597,2867.848739,9,0.803709172
193,56470,2721.538462,2757,2286.692308,2610.653846,2739,2817.923077,2386.884615,2620.269231,2142,9,-3.105787462
194,56479,2839.622222,2954.922222,2668.888889,1719.933333,1956.933333,2273.566667,2391.566667,1590.044444,661.7888889,9,-17.05853976
195,56483,2927.93,3070.465,2699.545,2847.455,2771.96,2619.28,2641.265,2642.965,2388.93,9,-3.088590713
196,56484,2925.789247,3033.178495,2563.363441,2896.245161,2798.184946,2682.236559,2619.698925,2079.591398,1996.146237,9,-5.095501571
197,56485,2648.02535,2540.551479,2324.342895,2352.973093,1989.951078,2316.744496,2186.264176,2561.905715,2482.201468,9,-0.290020127
198,56487,2728.75,2668.936275,2369.470588,2723.098039,2295.5,2666.794118,2437.186275,3169.715686,2833.470588,9,0.750581878
199,56488,3668.988095,3791.339286,3705.228175,3702.251984,3622.708333,3254.791667,3303.630952,2729.107143,2986.200397,9,-2.939888201
200,56493,1731.296296,1894.074074,1697.814815,1398.037037,1604.703704,1518.851852,1406.518519,1451.296296,1043.925926,9,-7.176254076
201,56494,3420.685885,3559.860835,3441.719682,3340.129225,3267.833002,2967.435388,3020.079523,2877.842942,2429.126117,9,-4.665052804
202,56495,2273.776515,2290.719697,2342.776515,2397.818182,2146.253788,2315.643939,2195.795455,2473.337121,2146.977273,9,-0.806791736
203,56501,3208.694134,3266.354749,3097.007682,3095.27933,2952.203212,2483.477654,2494.587989,3202.566341,3283.166899,9,0.064193935
204,56506,3336.773946,3460.597701,3066.475096,3339.287356,3120.720307,2356.413793,2542.306513,2392.015326,1933.386973,9,-7.018626084
205,56536,2393.075397,2557.797619,2057.103175,2279.543651,2365.277778,2060.079365,2027.02381,1781.694643,1783.412698,9,-4.407634322
206,56537,2473.571429,2523.194444,2172.261905,2296.448413,2297.123016,2103.90873,2012.202381,1648.209127,1906.686508,9,-3.44137523
207,56538,1896.6,2037.6,1921.4,1901,1682.6,1712.6,1758,1260.18,1351.6,9,-5.001629399
208,56543,2529.134615,2805.769231,2673.461538,2657.980769,2430.961538,2305.576923,2196.826923,1799.038462,1824.134615,9,-5.239876722
209,56544,2750.064103,2975.769231,2754.294872,2698.141026,2566.666667,2418.525641,2156.923077,1933.333333,1843.782051,9,-5.808049174
