,Plant Id,"Reported
Prime Mover",Plant State,Census Region,NERC Region,"Elec Fuel Consumption
MMBtu","Net Generation
(Megawatthours)",Plant Code,Sector Name,Utility Name,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Number of Turbines,turbine_capacity (KW),hub_height (m),rotor_diameter (m),rotor_swept area (m2),max_height (m),xlong,ylat,uptime,efficiency,avg_tgen,avg_fuel,avg_tcap,cluster
927,60983,WT,TX,WSC,TRE,3036658,343358,60983,IPP Non-CHP,"Buckthorn Wind Project, LLC",100.5,100.5,100.5,29,3450,87,125.0689655,12291.29103,149.5241379,-98.39685386,32.36647514,3416.497512,0.113071014,11839.93103,104712.3448,3.465517241,2
928,60987,WT,TX,WSC,TRE,10663306,1205711,60987,IPP Non-CHP,"BHE Renewables, LLC",300,300,300,120,2500,90,116,10568.32,148.1,-101.3519334,31.19372839,4019.036667,0.113071031,10047.59167,88860.88333,2.5,2
929,60991,WT,NM,MTN,MRO,1111604,125690,60991,IPP Non-CHP,AEM Wind LLC,29.9,29.9,29.9,13,2300,80,116,10568.32,138.1,-103.274782,33.36131531,4203.67893,0.113070842,9668.461538,85508,2.3,2
930,60999,WT,KS,WNC,MRO,5909790,668226,60999,IPP Non-CHP,Southern Power Co,200.1,200.1,200.1,64,3224.016393,96.56557377,126.4918033,12646.50787,159.9114754,-96.00987777,38.4890582,3339.46027,0.113071023,10441.03125,92340.46875,3.1265625,2
931,61001,WT,TX,WSC,TRE,3836589,433807,61001,IPP Non-CHP,Southern Power Co,148.4,148.4,148.4,43,3450,87,126,12468.98,150,-100.0176315,31.111067,2923.227763,0.113071012,10088.53488,89223,3.451162791,2
932,61002,WT,RI,NEW,NPCC,39453,4461,61002,IPP Non-CHP,"WED Portsmouth One, LLC",1.5,1.5,1.5,1,1500,85,82.3,5319.73,126.2,-71.25132,41.614353,2974,0.113071249,4461,39453,1.5,1
933,61004,WT,OH,ENC,RFC,34818,3937,61004,Industrial Non-CHP,OEE XXIV LLC,1.5,1.5,1.5,1,1500,80,87,5944.68,123.4,-84.033714,41.002811,2624.666667,0.113073698,3937,34818,1.5,1
934,61005,WT,OH,ENC,RFC,79243,8960,61005,Industrial Non-CHP,OEE XXIII LLC,4.5,4.5,4.5,3,1500,80,87,5944.68,123.4,-83.17887033,40.59116,1991.111111,0.113069924,2986.666667,26414.33333,1.5,0
935,61032,WT,TX,WSC,TRE,5743523,649426,61032,IPP Non-CHP,Scout Clean Energy LLC,180,180,180,64,2810.625,89.046875,126.484375,12569.28203,152.1984375,-99.42167628,31.24064194,3607.922222,0.113071019,10147.28125,89742.54688,2.8125,2
936,61039,WT,VT,NEW,NPCC,826126,93411,61039,IPP Non-CHP,Avangrid Renewables LLC,30,30,30,15,2000,78,92.33333333,6715.416,124.2133333,-72.97933813,42.86526293,3113.7,0.11307113,6227.4,55075.06667,2,1
937,61040,WT,CO,MTN,WECC,2737465,309528,61040,IPP Non-CHP,Avangrid Renewables LLC,75,75,75,36,2083.333333,80,114,10207.03,136.9,-102.5236088,37.77495008,4127.04,0.113071035,8598,76040.69444,2.083333333,2
938,61044,WT,NM,MTN,WECC,6683562,755717,61044,IPP Non-CHP,Avangrid Renewables LLC,306.2,306.2,306.2,111,2800,89,127,12667.69,152.4,-105.6628314,34.60884689,2468.050294,0.113070994,6808.261261,60212.27027,2.758558559,1
939,61046,WT,SD,WNC,MRO,5413915,612157,61046,IPP Non-CHP,Tatanka Ridge LLC,154,154,154,38,2767.857143,89.10714286,125.8214286,12442.7575,151.9392857,-96.70130632,44.62416446,3975.045455,0.11307104,16109.39474,142471.4474,4.052631579,2
940,61047,WT,SD,WNC,MRO,3608954,408068,61047,IPP Non-CHP,Coyote Ridge LLC,97.4,97.4,97.4,39,2484.210526,89.07894737,126.1315789,12501.95026,152.0605263,-96.56828666,44.44530261,4189.609856,0.11307099,10463.28205,92537.28205,2.497435897,2
941,61056,WT,NE,WNC,MRO,62376,7053,61056,IPP Non-CHP,Seward Wind LLC,1.7,1.7,1.7,1,1700,80,103,8332.29,131.4,-97.187673,40.895281,4148.823529,0.113072336,7053,62376,1.7,1
942,61066,WT,CA,PACC,WECC,44485,5030,61066,IPP Non-CHP,"Foundation CA Fund VIII Manager, LLC",1.9,1.9,1.9,1,1850,80,82.5,5345.62,121.3,-118.221596,34.691982,2647.368421,0.113071822,5030,44485,1.9,1
943,61067,WT,CA,PACC,WECC,35915,4061,61067,IPP Non-CHP,"Foundation CA Fund VIII Manager, LLC",1.9,1.9,1.9,1,1850,80,82.5,5345.62,121.3,-121.191589,36.274509,2137.368421,0.113072532,4061,35915,1.9,0
944,61070,WT,IA,WNC,MRO,2344331,265076,61070,Electric Utility,Madison Gas & Electric Co,66,15.3,15.3,33,2000,94,116,10568.32,152.1,-92.33731015,43.37790861,4016.30303,0.113071064,8032.606061,71040.33333,2,2
945,61077,WT,IA,WNC,MRO,16347860,1848469,61077,Electric Utility,MidAmerican Energy Co,500.8,500.8,500.8,244,2052.674897,95,112.6337449,9979.082305,151.3432099,-94.40212312,41.21562947,3691.032348,0.113071007,7575.692623,66999.42623,2.052459016,1
946,61079,WT,IA,WNC,MRO,11328005,1280869,61079,Electric Utility,MidAmerican Energy Co,340,351.2,351.2,170,2000,95,110,9503.32,150,-94.16040856,42.10395589,3767.261765,0.113071013,7534.523529,66635.32353,2,1
947,61100,WT,ND,WNC,MRO,7291020,824403,61100,IPP Non-CHP,Burke Wind LLC,199.4,199.4,199.4,89,2611.351351,88.91891892,114.5945946,10326.58703,146.2945946,-102.8598172,48.80805678,4134.418255,0.113071011,9262.955056,81921.57303,2.240449438,2
948,61106,WT,MI,ENC,RFC,3375267,381645,61106,Electric Utility,DTE Electric Company,161.3,161.3,161.3,65,2481.538462,90,116,10568.32,148.1,-84.6602154,43.47878675,2366.057037,0.113071055,5871.461538,51927.18462,2.481538462,1
949,61155,WT,MT,MTN,WECC,697509,78868,61155,IPP Non-CHP,Consolidated Edison Development Inc.,25,25,25,14,1790,80,100,7853.98,130.1,-109.6524185,45.83571929,3154.72,0.113070942,5633.428571,49822.07143,1.785714286,1
950,61161,WT,IL,ENC,SERC,6132013,693353,61161,IPP Non-CHP,Harvest Ridge Wind Farm,202,202,202,48,4162.5,105,146.7916667,16950.79042,178.4958333,-88.0076316,39.85778515,3432.440594,0.113071026,14444.85417,127750.2708,4.208333333,2
951,61212,WT,TX,WSC,TRE,6371704,720455,61212,IPP Non-CHP,"BHE Renewables, LLC",200,200,200,100,2000,95,110,9503.32,150,-98.57041462,31.63196858,3602.275,0.113071009,7204.55,63717.04,2,1
952,61221,WT,OK,WSC,MRO,3725157,421207,61221,IPP Non-CHP,Redbed Plains Wind Farm LLC,99.1,99.1,99.1,48,2064.583333,93,114,10207.03,150,-97.87380521,35.27630933,4250.322906,0.113070939,8775.145833,77607.4375,2.064583333,2
953,61222,WT,CA,PACC,WECC,1375224,155498,61222,IPP Non-CHP,"Golden Hills Interconnection Wind, LLC",46,46,46,20,2300,80,116,10568.32,138.1,-121.6398341,37.76890289,3380.391304,0.113071034,7774.9,68761.2,2.3,2
954,61261,WT,OK,WSC,MRO,4860980,549636,61261,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",154.5,154.5,154.5,60,2576.25,84.25,118.2,10987.4025,143.45,-97.47639007,36.915487,3557.514563,0.113071027,9160.6,81016.33333,2.575,2
955,61269,WT,OK,WSC,MRO,8427890,952950,61269,IPP Non-CHP,"Thunder Ranch Wind Project, LLC",297.8,297.8,297.8,120,2481.666667,89.08333333,116,10568.32,147.1833333,-97.30629718,36.57236456,3199.96642,0.113071006,7941.25,70232.41667,2.481666667,2
956,61270,WT,OK,WSC,MRO,9327493,1054669,61270,IPP Non-CHP,"Red Dirt Wind Project, LLC",299.3,299.3,299.3,95,3150,87.5,125,12271.85,150,-97.77619663,36.04751036,3523.785499,0.113071004,11101.77895,98184.13684,3.150526316,2
957,61303,WT,IN,ENC,RFC,3365886,380584,61303,IPP Non-CHP,"Bluff Point Wind, LLC",119.7,119.7,119.7,56,2100,94,116,10568.32,152.1,-84.94708932,40.3229045,3179.482038,0.113070972,6796.142857,60105.10714,2.1375,1
958,61330,WT,OH,ENC,RFC,1836050,207604,61330,IPP Non-CHP,Hog Creek Wind Project LLC,66,66,66,30,2200,95,110,9503.32,150,-83.7150449,40.7894545,3145.515152,0.113070995,6920.133333,61201.66667,2.2,1
959,61343,WT,TX,WSC,TRE,8201271,927326,61343,IPP Non-CHP,Avangrid Renewables LLC,307.1,307.1,307.1,124,2479.516129,89.25,124.25,12142.8475,151.325,-97.74946138,28.13817052,3019.622273,0.113071011,7478.435484,66139.28226,2.476612903,1
960,61344,WT,IL,ENC,RFC,4135145,467565,61344,IPP Non-CHP,Avangrid Renewables LLC,150,150,150,42,3766.666667,82.47619048,135.047619,14330.74476,150,-88.69734202,41.12616914,3117.1,0.113071005,11132.5,98455.83333,3.571428571,2
961,61356,WT,OH,ENC,RFC,62642,7083,61356,Industrial Non-CHP,OEE XXV LLC,3,3,3,2,1500,80,87,5944.68,123.4,-83.6442605,41.0836275,2361,0.113071102,3541.5,31321,1.5,0
962,61357,WT,MN,WNC,MRO,6405391,724264,61357,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",200,200,200,100,2000,80,105,8678.65,132.55,-96.15945412,44.47478451,3621.32,0.113071005,7242.64,64053.91,2,1
963,61402,WT,TX,WSC,TRE,10940116,1237010,61402,IPP Non-CHP,"Foard City Wind, LLC",352.8,350.3,350.3,139,2520,89,127,12667.69,152.4,-99.74134107,33.91131767,3506.264172,0.113071013,8899.352518,78705.8705,2.538129496,2
964,61407,WT,NE,WNC,MRO,3650112,412722,61407,IPP Non-CHP,Cottonwood Wind Project,89.7,89.7,89.7,40,2249,80,114.4,10296.886,137.3,-98.42182998,40.27864345,4601.137124,0.113071051,10318.05,91252.8,2.2425,2
965,61417,WT,TX,WSC,TRE,5286712,597774,61417,IPP Non-CHP,Fluvanna Wind Energy 2 LLC,158,158,158,76,2000,94,116,10568.32,152.1,-101.2336333,32.87884159,3783.379747,0.113071035,7865.447368,69562,2.078947368,2
966,61443,WT,CA,PACC,WECC,47297,5348,61443,IPP Non-CHP,"Foundation CA Fund IX Manager, LLC",1.8,1.8,1.8,1,1700,80,100,7853.98,130.1,-121.453572,36.503965,2971.111111,0.113072711,5348,47297,1.8,1
967,61540,WT,KS,WNC,MRO,139204,15740,61540,Commercial Non-CHP,Fort Hays State University,4,4,4,2,2000,80,100,7853.98,130.05,-99.404484,38.8753415,3935,0.113071463,7870,69602,2,2
968,61564,WT,IA,WNC,MRO,7686648,869137,61564,Electric Utility,Interstate Power and Light Co,299.3,299.3,299.3,121,2472.649573,88.63247863,116,10568.32,146.7324786,-95.33658496,43.21998768,2903.899098,0.113071003,7182.950413,63526.01653,2.473553719,1
969,61565,WT,IA,WNC,MRO,5167203,584261,61565,Electric Utility,Interstate Power and Light Co,171.5,171.5,171.5,69,2468.115942,87.56521739,125.2463768,12333.00783,150.1202899,-92.40518416,41.54819304,3406.769679,0.113071037,8467.550725,74887,2.485507246,2
970,61582,WT,CA,PACC,WECC,4471580,505606,61582,IPP Non-CHP,Terra-Gen Operating Co-Wind,128.7,128.7,128.7,36,3600,91.5,117,10751.32,150,-118.2661715,35.072893,3928.562549,0.113070995,14044.61111,124210.5556,3.575,2
971,61584,WT,CA,PACC,WECC,729276,82460,61584,IPP Non-CHP,Terra-Gen Operating Co-Wind,21.6,21.6,21.6,6,3450,94,112,9852.03,150,-118.2643355,35.0669115,3817.592593,0.113071046,13743.33333,121546,3.6,2
972,61589,WT,TX,WSC,MRO,62420,7058,61589,Commercial Non-CHP,West Texas A&M University,3.5,3.5,3.5,2,3570,130,136,14526.72,198.1,-101.79,34.96733,2016.571429,0.113072733,3529,31210,1.75,0
973,61609,WT,IA,WNC,MRO,3695864,417895,61609,IPP Non-CHP,"Heartland Divide Wind Project, LLC",103.5,103.5,103.5,43,2411.111111,88,124,12132.83333,149.9222222,-94.82641192,41.73450956,4037.63285,0.11307099,9718.488372,85950.32558,2.406976744,2
974,61638,WT,IA,WNC,MRO,5609919,634319,61638,IPP Non-CHP,Turtle Creek Wind Farm LLC,199.2,199.2,199.2,50,3557.142857,82,136,14526.72,150,-92.84340157,43.42543821,3184.332329,0.113070973,12686.38,112198.38,3.984,2
975,61644,WT,IA,WNC,MRO,50262,5683,61644,IPP Non-CHP,"August Wind Energy, LLC",1.8,1.8,1.8,1,1790,80,100,7853.98,130.1,-94.475632,40.764946,3157.222222,0.113067526,5683,50262,1.8,1
976,61650,WT,MN,WNC,MRO,6541126,739612,61650,Electric Utility,Northern States Power Co - Minnesota,200,200,200,100,2000,80,119,11129.089,139.41,-96.32119657,44.44472036,3698.06,0.113071052,7396.12,65411.26,2,1
977,61660,WT,OH,ENC,RFC,95950,10849,61660,IPP Non-CHP,OEE XXVI LLC,4.5,4.5,4.5,3,1500,80,87,5944.68,123.4,-84.61149233,40.127835,2410.888889,0.113069307,3616.333333,31983.33333,1.5,0
978,61668,WT,NE,WNC,MRO,236444,26735,61668,IPP Non-CHP,"Creston Ridge II, LLC",6.9,6.9,6.9,3,2300,80,116,10568.32,138.1,-97.40349033,41.677526,3874.637681,0.113071171,8911.666667,78814.66667,2.3,2
979,61673,WT,NY,MAT,NPCC,2065242,233519,61673,IPP Non-CHP,Arkwright Summit Wind Farm LLC,78.4,78.4,78.4,36,2177.777778,95,110,9503.32,150,-79.23183256,42.40774783,2978.558673,0.113071011,6486.638889,57367.83333,2.177777778,1
980,61674,WT,TX,WSC,MRO,5812859,657266,61674,IPP Non-CHP,"Wildcat Ranch Wind Project, LLC",150,150,150,65,2247.61194,80,114.8358209,10368.07851,137.5,-102.906197,33.53746679,4381.773333,0.113071038,10111.78462,89428.6,2.307692308,2
981,61677,WT,NE,WNC,MRO,289818,32770,61677,IPP Non-CHP,"Perennial Wind, LLC",6.9,6.9,6.9,3,2300,90,116,10568.32,148.1,-97.62688933,40.63289133,4749.275362,0.113070962,10923.33333,96606,2.3,2
982,61735,WT,IL,ENC,SERC,4950995,559814,61735,IPP Non-CHP,"Hilltopper Wind Project, LLC",185,185,185,74,2500,90,116,10568.32,148.1,-89.35053501,40.00132751,3026.021622,0.113071009,7565.054054,66905.33784,2.5,2
983,61745,WT,SD,WNC,MRO,731037,82659,61745,IPP Non-CHP,Consolidated Edison Development Inc.,20,20,20,9,2300,80,116,10568.32,138.1,-98.75530333,43.71631544,4132.95,0.113070884,9184.333333,81226.33333,2.222222222,2
984,61746,WT,SD,WNC,MRO,722377,81680,61746,IPP Non-CHP,Consolidated Edison Development Inc.,20,20,20,9,2300,80,116,10568.32,138.1,-98.92246911,43.71455522,4084,0.113071153,9075.555556,80264.11111,2.222222222,2
985,61747,WT,ND,WNC,MRO,5492530,621046,61747,Electric Utility,"Foxtail Wind, LLC",150,150,150,75,2000,80,119.0666667,11141.13173,139.4426667,-98.88072764,46.10435115,4140.306667,0.113071026,8280.613333,73233.73333,2,2
986,61756,WT,IN,ENC,RFC,5296990,598936,61756,IPP Non-CHP,Meadow Lake Wind Farm VI LLC,200.4,200.4,200.4,61,3285.245902,103.0327869,130.8852459,13538.51016,168.5557377,-87.14060469,40.69190062,2988.702595,0.113071008,9818.622951,86835.90164,3.285245902,2
987,61773,WT,TX,WSC,TRE,2404612,271892,61773,IPP Non-CHP,"Acciona Energy USA Global, LLC",144.9,142.6,142.6,46,3150,87.5,125,12271.85,150,-97.48015037,26.30086441,1876.411318,0.113071048,5910.695652,52274.17391,3.15,1
988,61775,WT,MA,NEW,NPCC,27416,3100,61775,Commercial Non-CHP,Town of Otis,1.5,1.5,1.5,1,1500,85,82,5281.02,126,-73.025764,42.225765,2066.666667,0.113072658,3100,27416,1.5,0
989,61776,WT,TX,WSC,TRE,3938818,445366,61776,IPP Non-CHP,"Midway Wind, LLC",162.9,162.9,162.9,47,3465,84,132,13684.78,150,-97.32783278,27.94582711,2733.984039,0.113070977,9475.87234,83804.6383,3.465957447,2
990,61782,WT,TX,WSC,TRE,6762174,764606,61782,IPP Non-CHP,Engie North America,199.5,199.5,199.5,76,2625,85,120,11309.73,145.1,-100.6535692,31.03920449,3832.611529,0.113071033,10060.60526,88975.97368,2.625,2
991,61784,WT,NE,WNC,MRO,7047118,796825,61784,IPP Non-CHP,Invenergy Services LLC,202.5,202.5,202.5,81,2500,90,116,10568.32,148.1,-98.0048561,42.18730454,3934.938272,0.113071045,9837.345679,87001.45679,2.5,2
992,61787,WT,IL,ENC,SERC,3841224,434331,61787,IPP Non-CHP,Invenergy Services LLC,119,119,119,53,2492.45283,90,116,10568.32,148.1,-90.28724006,41.20611358,3649.840336,0.11307099,8194.924528,72475.92453,2.245283019,2
993,61788,WT,MN,WNC,MRO,36445,4121,61788,IPP Non-CHP,"Hilltop Power, LLC",2,2,2,1,2000,80,80,5026.55,120,-96.193085,43.9128,2060.5,0.113074496,4121,36445,2,0
994,61789,WT,KS,WNC,MRO,10471413,1184013,61789,IPP Non-CHP,"Enel Green Power Diamond Vista Wind Project, LLC",299.3,299.3,299.3,95,3150,87.5,125,12271.85,150,-97.21673741,38.57480053,3955.940528,0.113070987,12463.29474,110225.4,3.150526316,2
995,61836,WT,OK,WSC,MRO,4881233,551926,61836,IPP Non-CHP,"Minco Wind IV, LLC",130,130,130,52,2143.220339,86.61016949,111.2881356,9761.702034,142.3067797,-98.32506581,35.44853014,4245.584615,0.113071021,10613.96154,93869.86538,2.5,2
996,61848,WT,TX,WSC,MRO,32494,3674,61848,Industrial Non-CHP,"PYCO Industries, Inc.",10,3,4.4,10,1000,70,54,2290.22,96.9,-101.795511,33.5520834,367.4,0.113067028,367.4,3249.4,1,0
997,61858,WT,MT,MTN,WECC,2300387,260107,61858,IPP Non-CHP,Pattern Operators LP,79.7,79.7,79.7,31,2572.580645,84.19354839,118.0645161,10963.14129,143.3258065,-109.4990175,45.87356016,3263.57591,0.113070975,8390.548387,74206.03226,2.570967742,2
998,61865,WT,TX,WSC,TRE,6056285,684790,61865,IPP Non-CHP,"Rio Bravo Windpower, LLC",237.6,237.6,237.6,66,3600,105,136,14526.72,173.1,-99.038592,26.63651415,2882.112795,0.113070967,10375.60606,91761.89394,3.6,2
999,61866,WT,OK,WSC,MRO,3382583,382472,61866,IPP Non-CHP,Southern Power Co,100,100,100,29,3450,105,136,14526.72,173.1,-95.1924865,34.59084329,3824.72,0.113070987,13188.68966,116640.7931,3.448275862,2
1000,61876,WT,OK,WSC,MRO,7252822,820084,61876,IPP Non-CHP,"Persimmon Creek Wind Farm 1, LLC",198.6,198.6,198.6,80,2482.5,90,116,10568.32,148.1,-99.3226142,36.16930286,4129.325277,0.113071023,10251.05,90660.275,2.4825,2
1001,61889,WT,NE,WNC,MRO,6140072,694264,61889,IPP Non-CHP,"Sholes Wind Energy Center, LLC",160,160,160,71,2253.802817,89.15492958,114.9014085,10379.35972,146.6887324,-97.32551393,42.27098862,4339.15,0.113070987,9778.366197,86479.88732,2.253521127,2
1002,61911,WT,IA,WNC,MRO,2848573,322091,61911,Electric Utility,MidAmerican Energy Co,90.8,90.8,90.8,35,2595,84.28571429,118.2857143,11002.75143,143.5285714,-92.940307,42.34166851,3547.257709,0.113071001,9202.6,81387.8,2.594285714,2
1003,61916,WT,MI,ENC,RFC,3306877,373912,61916,IPP Non-CHP,"Pegasus Wind, LLC",178,178,178,52,2521.666667,83.16666667,116,10568.32,141.2666667,-83.54088067,43.49700313,2100.629213,0.113071033,7190.615385,63593.78846,3.423076923,2
1004,61921,WT,TX,WSC,TRE,10015017,1132408,61921,IPP Non-CHP,"Tahoka Wind, LLC",300,300,300,120,2500,89,127,12667.69,152.4,-101.6915987,33.15588423,3774.693333,0.113071001,9436.733333,83458.475,2.5,2
1005,61925,WT,NM,MTN,WECC,1739083,196640,61925,IPP Non-CHP,"Casa Mesa Wind, LLC",50.9,50.9,50.9,21,2420,88.1,124.3,12186.319,150.17,-103.9771068,34.60458545,3863.261297,0.113071084,9363.809524,82813.47619,2.423809524,2
1006,61926,WT,OK,WSC,MRO,8433665,953603,61926,IPP Non-CHP,"Armadillo Flats Wind Project, LLC",247.3,247.3,247.3,126,2003.75,84.25925926,106.9537037,9032.231759,137.8268519,-97.55258981,36.31067552,3856.05742,0.113071008,7568.277778,66933.84921,1.962698413,1
1007,61957,WT,KS,WNC,MRO,9042010,1022389,61957,IPP Non-CHP,"Pratt Wind, LLC",243.5,243.5,243.5,88,2300,80,108.6037736,9267.101887,134.4018868,-98.86954927,37.56066877,4198.722793,0.113070988,11618.05682,102750.1136,2.767045455,2
1008,61969,WT,TX,WSC,TRE,9736334,1100897,61969,IPP Non-CHP,"Torrecillas Wind Energy, LLC",300,300,300,121,2500,89,127,12667.69,152.4,-98.80395686,27.61259719,3669.656667,0.113070998,9098.322314,80465.57025,2.479338843,2
1009,61970,WT,TX,WSC,TRE,3349195,378697,61970,IPP Non-CHP,"Blue Summit II Wind, LLC",99.4,99.4,99.4,85,2387.857143,88.57142857,114.1428571,10248.88714,145.6785714,-99.47329768,34.23404571,3809.828974,0.113071051,4455.258824,39402.29412,1.169411765,1
1010,61984,WT,KS,WNC,MRO,9370078,1059484,61984,IPP Non-CHP,Engie North America,275.6,275.6,275.6,105,2625,85,120,11309.73,145.1,-101.1117103,39.30959243,3844.281567,0.11307099,10090.32381,89238.8381,2.624761905,2
1011,62035,WT,IA,WNC,MRO,7670896,867356,62035,IPP Non-CHP,"EDF Renewable Asset Holdings, Inc.",211.7,200,200,82,2585.853659,87.35365854,124.9878049,12283.6589,149.7841463,-95.77716641,42.86866565,4097.099669,0.113071015,10577.5122,93547.5122,2.581707317,2
1012,62038,WT,TX,WSC,TRE,10595305,1198021.9,62038,IPP Non-CHP,Invenergy Services LLC,302.4,302.4,302.4,120,2520,89,127,12667.69,152.4,-101.1391123,31.24661191,3961.712632,0.113071016,9983.515833,88294.20833,2.52,2
1013,62079,WT,IA,WNC,MRO,7252530,820051,62079,Electric Utility,Interstate Power and Light Co,201.3,201.3,201.3,81,2484.691358,87.55555556,125.2345679,12330.75407,150.1049383,-93.44205026,42.77946653,4073.77546,0.113071025,10124.08642,89537.40741,2.485185185,2
1014,62080,WT,IA,WNC,MRO,4249949,480546,62080,Electric Utility,Interstate Power and Light Co,130.9,130.9,130.9,53,2470.188679,86.96226415,124.509434,12192.36094,149.1622642,-95.221131,42.31701685,3671.092437,0.113071004,9066.90566,80187.71698,2.469811321,2
1015,62081,WT,IA,WNC,MRO,6534928,738911,62081,Electric Utility,Interstate Power and Light Co,199.8,199.8,199.8,82,2436.829268,85.59756098,122.8414634,11874.02573,146.9939024,-93.98794695,43.41257791,3698.253253,0.113071024,9011.109756,79694.2439,2.436585366,2
1016,62103,WT,IA,WNC,MRO,4862094,549762,62103,Electric Utility,Wisconsin Power & Light Co,152.2,152.2,152.2,56,2717.857143,87.23214286,124.8392857,12255.31375,149.5910714,-94.09881963,42.99165004,3612.102497,0.113071035,9817.178571,86823.10714,2.717857143,2
1017,62106,WT,RI,NEW,NPCC,56529,6392,62106,IPP Non-CHP,"WED Green Hill, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.529739,41.797844,2130.666667,0.113074705,6392,56529,3,1
1018,62107,WT,RI,NEW,NPCC,58822,6651,62107,IPP Non-CHP,"WED Plainfield II, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.539964,41.794581,2217,0.11306994,6651,58822,3,1
1019,62108,WT,RI,NEW,NPCC,56133,6347,62108,IPP Non-CHP,"WED Plainfield III, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.530623,41.793527,2115.666667,0.113070743,6347,56133,3,1
1020,62109,WT,RI,NEW,NPCC,54409,6152,62109,IPP Non-CHP,"WED Plainfield, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.535828,41.79607,2050.666667,0.113069529,6152,54409,3,1
1021,62110,WT,RI,NEW,NPCC,59486,6726,62110,IPP Non-CHP,"WED Shun I, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.54066,41.79845,2242,0.113068621,6726,59486,3,1
1022,62111,WT,RI,NEW,NPCC,58459,6610,62111,IPP Non-CHP,"WED Shun II, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.536224,41.800133,2203.333333,0.113070699,6610,58459,3,1
1023,62112,WT,RI,NEW,NPCC,60458,6836,62112,IPP Non-CHP,"WED Shun III, LLC",3,3,3,1,3000,98,120,11309.73,157.9,-71.549332,41.799068,2278.666667,0.113070231,6836,60458,3,1
1024,62130,WT,IA,WNC,MRO,55346,6258,62130,IPP Non-CHP,"Roseman Energy, LLC",1.8,1.8,1.8,1,1790,80,100,7853.98,130.1,-94.753922,41.373135,3476.666667,0.113070502,6258,55346,1.8,1
1025,62132,WT,IA,WNC,MRO,9913240,1120900,62132,Electric Utility,MidAmerican Energy Co,310,310,310,142,2188.571429,95.85714286,113.4285714,10203.44629,152.58,-94.33119309,41.45085198,3615.806452,0.113071004,7893.661972,69811.5493,2.183098592,2
1026,62133,WT,IA,WNC,MRO,11206426,1267122,62133,Electric Utility,MidAmerican Energy Co,340,347.8,347.8,240,2000,95,110,9503.32,150,-92.55836279,41.64502459,3726.829412,0.113071018,5279.675,46693.44167,1.416666667,1
1027,62142,WT,TX,WSC,TRE,6709677,758670,62142,IPP Non-CHP,Amadeus Wind LLC,250,250,250,96,2605.416667,87.125,121.375,11664.83375,147.7541667,-100.5500887,32.98368126,3034.68,0.113071017,7902.8125,69892.46875,2.604166667,2
1028,62161,WT,WI,ENC,MRO,183222,20717,62161,Commercial Non-CHP,Galactic Wind,9.9,9.9,9.9,6,1650,80,82,5281.02,121,-89.56071067,43.1729725,2092.626263,0.113070483,3452.833333,30537,1.65,0
1029,62172,WT,IA,WNC,MRO,58441,6608,62172,IPP Non-CHP,Birch Power LLC,1.8,1.8,1.8,1,1790,80,100,7853.98,130.1,-94.474396,40.767693,3671.111111,0.113071303,6608,58441,1.8,1
1030,62207,WT,TX,WSC,TRE,3972919,449222,62207,IPP Non-CHP,Reloj del Sol Wind Farm LLC,209.4,209.4,209.4,51,3323.809524,120,132,13684.78,185.9,-99.28889538,27.11784483,2145.281757,0.113071019,8808.27451,77900.37255,4.105882353,2
1031,62220,WT,KS,WNC,MRO,6396875,723301,62220,IPP Non-CHP,Engie North America,195.8,195.8,195.8,72,2720,90,116,10568.32,148.1,-100.9147772,39.33130982,3694.080695,0.113070992,10045.84722,88845.48611,2.719444444,2
1032,62227,WT,TX,WSC,TRE,1236895,139857,62227,IPP Non-CHP,Engie North America,30.2,30.2,30.2,12,2520,89,127,12667.69,152.4,-99.19340367,33.57815275,4631.02649,0.113071037,11654.75,103074.5833,2.516666667,2
1033,62247,WT,SD,WNC,MRO,7341165,830073,62247,IPP Non-CHP,AES Distributed Energy,220,220,220,57,3800,110,137,14741.14,178.6,-98.06586491,43.1120814,3773.059091,0.113071018,14562.68421,128792.3684,3.859649123,2
1034,62258,WT,TX,WSC,TRE,3508274,396684,62258,IPP Non-CHP,Mesteno Wind,201.6,200,200,56,3600,112,136,14526.72,180.1,-98.75021659,26.52582645,1967.678571,0.113070986,7083.642857,62647.75,3.6,2
1035,62259,WT,TX,WSC,TRE,10405222,1176529,62259,IPP Non-CHP,Ranchero Wind Farm LLC,300,300,300,120,2500,89,127,12667.69,152.4,-101.7190423,31.0154453,3921.763333,0.113071014,9804.408333,86710.18333,2.5,2
