Plant Code,Year,Nameplate Capacity (MW)
56111,2013,160.0
56111,2014,160.0
56111,2015,160.0
56111,2016,160.0
56111,2017,160.0
56111,2018,160.0
56111,2019,160.0
56111,2020,160.0
56111,2021,160.0
56112,2013,22.4
56112,2014,22.4
56112,2015,22.4
56112,2016,22.4
56112,2017,22.4
56112,2018,22.4
56112,2019,22.4
56112,2020,22.4
56112,2021,22.4
56123,2013,11.5
56123,2014,11.5
56123,2015,11.5
56123,2016,11.5
56123,2017,11.5
56123,2018,11.5
56123,2019,11.5
56123,2020,11.5
56123,2021,11.5
56142,2013,85.5
56142,2014,85.5
56142,2015,85.5
56142,2016,85.5
56142,2017,85.5
56142,2018,85.5
56142,2019,85.5
56142,2020,85.5
56142,2021,85.5
56153,2013,12.0
56153,2014,12.0
56153,2015,12.0
56153,2016,12.0
56153,2017,12.0
56153,2018,12.0
56153,2019,12.0
56153,2020,12.0
56153,2021,12.0
56160,2013,50.4
56160,2014,50.4
56160,2015,50.4
56160,2016,50.4
56160,2017,50.4
56160,2018,76.3
56160,2019,76.2
56160,2020,76.2
56160,2021,76.2
56162,2013,59.4
56162,2014,59.4
56162,2015,59.4
56162,2016,59.4
56162,2017,59.4
56162,2018,59.4
56162,2019,59.4
56162,2020,59.4
56162,2021,59.4
56172,2013,43.5
56172,2014,43.5
56172,2015,43.5
56172,2016,43.5
56172,2017,43.5
56172,2018,43.5
56172,2019,43.5
56172,2020,43.5
56172,2021,43.5
56173,2013,162.0
56173,2014,162.0
56173,2015,162.0
56173,2016,162.0
56173,2017,162.0
56173,2018,162.0
56173,2019,162.0
56173,2020,162.0
56173,2021,162.0
56174,2013,51.0
56174,2014,51.0
56174,2015,51.0
56174,2016,51.0
56174,2017,51.0
56174,2018,51.0
56174,2019,51.0
56174,2020,51.0
56174,2021,51.0
56195,2013,41.0
56195,2014,41.0
56195,2015,41.0
56195,2016,41.0
56195,2017,41.0
56195,2018,41.0
56195,2019,43.0
56195,2020,43.0
56195,2021,43.0
56199,2013,2.0
56199,2014,2.0
56199,2015,2.0
56199,2016,2.0
56199,2017,2.0
56199,2018,2.0
56199,2019,2.0
56199,2020,2.0
56199,2021,2.0
56200,2013,2.0
56200,2014,2.0
56200,2015,2.0
56200,2016,2.0
